"unique_id","pnl_usdc_terms","pnl_eth_terms","hodl_usdc_terms","hodl_eth_terms","strat_usdc_terms","strat_eth_terms"
"126296",306.91479626202,-0.0827103056641663,17101.3675988984,5.04680247634193,17117.1387765786,5.05145672508029
"126309",-50628.8344826536,15.4199039218052,814078.096079784,278.843600407912,819553.29822688,280.719004115503
"126334",-22094.4735757417,4.02351549311464,506551.5999517,164.55392150317,516066.848772108,167.644961996627
"126335",1257.00599723815,-0.216261767621713,49333.4955207178,14.4143076184499,49611.0525712843,14.4954045013345
"126364",-1068.96882927033,0.351424490283763,13196.3792029239,4.67980327766449,13100.2680585287,4.64571959140141
"126373",3712.39230575995,-0.0233518602481695,151015.167697224,44.4623101211361,152785.748032911,44.9836093600149
"126384",1002.60697177995,0.301648735735682,60690305.681869,18259.551844028,60691308.2888408,18259.8534927637
"126390",738.086015177396,0.0872313402270617,41533.9467760654,12.3792384376729,42043.0471856476,12.5309763737018
"126429",411.27885818432,0.12442796393843,56711605.9024981,17157.4821164,56712017.1813563,17157.6065443639
"126431",7014.05870956643,-1.45935437007853,46012.7399629909,10.255691435838,44963.3781337629,10.0218011886202
"126458",20.3302726143129,-0.688255194622968,67638.8339676991,19.8709695395689,67627.6582088491,19.8676863196985
"126461",114.611258697005,-0.0455466566230127,12625.9331347816,3.7621508670245,12643.870678016,3.76749571901372
"126489",938.069477850184,-0.695647468969267,33799.5700289998,9.26353041953501,32968.4615543033,9.03574649711592
"126519",134.370254869233,0.384520434113383,28778.698994733,9,30008.2543092522,9.38452043411338
"126524",-207.256218564493,-0.0624935032855234,54330477.1823426,16382.147072461,54330269.9261241,16382.0845789577
"126536",3514.58511761128,-0.563273036745212,68729.3848009546,19.1056407749256,66736.4092125041,18.5516262762304
"126558",2983.63860479007,-1.15511072893493,255371.547145491,74.293520320528,256795.058011035,74.7076527272036
"126562",-862.177316037727,0.00651756378514214,6817.9113490761,2.3,6837.23142390177,2.30651756378514
"126568",281.076991332935,-0.07806144102977,28330.085362613,8.28889373802384,28299.384120515,8.27991108477314
"126570",-0.3729901991008,0.000145134870662993,518.19371853386,0.155808829069057,518.194617768432,0.155809099448031
"126616",-440.446183118299,0.157220945768791,2921.31111180752,1.14558099389385,3138.56409957402,1.23077592320008
"126624",-18.4657671002205,-0.00555290391722707,13099202.889616,3939.10605734752,13099184.4238489,3939.1005044436
"126625",-20498.8228382516,8.83964288802187,289360.131179991,102.751281977308,275884.056883631,97.9659513088231
